Category,Question,Answer
1,Ile Wielkich Pierścieni otrzymała rasa elfów?,Trzy
1,Ile Wielkich Pierścieni otrzymała rasa krasnoludów?,Siedem
1,Ile Wielkich Pierścieni otrzymała rasa ludzi?,Dziewięć
1,Gdzie znajdowała się Góra Przeznaczenia?,W Mordorze
1,Gdzie i przez kogo został wykuty Jedyny Pierścień?,W Górze Przeznaczenia przez Saurona
1,"Z jakich ras składała się ostatnia armia, która pod Górą Przeznaczenia pokonała Saurona?",Elfy i ludzie
1,"Do kogo należał miecz, którym Isildur pokonał Saurona?",Do jego ojca
1,Kto pokonał Saurona odcinając palec z pierścieniem?,Isildur
1,Jak zginął Isildur?,Został trafiony strzałą podczas zasadzki orków.
1,Gdzie spoczął pierścień na długi czas po śmierci Isildura?,Na dnie jeziora?
1,Gdzie udał się Gollum po zdobyciu pierścienia?,W Góry Mgliste
1,Kto następny nosił pierścień po Isildurze?,Gollum
1,Jaką opowieść pisał Bilbo Baggins?,"""Tam i z powrotem, opowieść Hobbita"""
1,"Jak nazywała się kraina, na terenie której żyli hobbici?",Shire
1,Kim był Bilbo dla Froda?,Wujem
1,Co robił Frodo czekając na przyjazd Gandalfa do Shire na urodziny Bilba?,Czytał książkę
1,"Jak nazywało się mieszkanie rodziny Bagginsów, w którym mieszkał Bilbo?",Bag End
1,Kto czyhał na przejęcie domu Bilba po jego śmierci?,Bagginsowie z Sackville
1,Na cześć których urodzin Bilba zorganizowano przyjęcie?,Sto jedenaste
1,Jak nazywała się kelnerka w której kochał się Sam?,Rosie
1,Jaką historię ze swojej podróży opowiada dzieciom na przyjęciu Bilbo?,O tym jak złapały go 3 trolle
1,Kto ukradł Gandalfowi fajerwerki w czasie przyjęcia?,Merry i Pippin
1,Jaką karę za kradzież fajerwerków otrzymali Merry i Pippin?,Musieli zmywać naczynia w czasie przyjęcia
1,Kogo Bilbo oskarża o próbę kradzieży jego pierścienia w Bag End?,Gandalfa
1,Dokąd udał się Gandalf po opuszczeniu przez Bilba Bag End i pozostawieniu pierścienia Frodowi?,Do Minas Tirith
1,Co uczynił Gandalf aby sprawdzić czy na pierścieniu ukaże się napis?,Wrzucił go do rozpalonego kominka
1,W jakim języku wyryto napisy na jedynym pierścieniu?,W czarnej mowie/języku mordoru
1,"Z czyich zapisków Gandalf dowiaduje się, że pierścień Bilba może być jedynym pierścieniem?",Z zapisków Isildura
1,Jak nazywała się forteca Saurona wzniesiona w Mordorze?,Barad-dur
1,Jakie dwa słowa udało się usłyszeć od Golluma podczas tortur w Mordorze?,"Shire, Baggins"
1, Jak nazywała się gospoda w której Frodo miał się spotkać z Gandalfem po opuszczeniu Bag End?,Gospoda Pod Rozbrykanym Kucykiem
1,Jak nazywała się mieścina w której Gandalf miał czekać na Froda po opuszczeniu Bag End z pierścieniem?,Bree
1,"Jak Sam tłumaczy swoją obecność przed domem Bilba, gdy Gandalf rozmawia z Frodem o pierścieniu?","Sam mówi, że strzygł tylko trawę"
1,"Dokąd maszerowały elfy, które Frodo i Sam zobaczyli w lesie po wyruszeniu do Bree?",Do Szarej Przystani
1,Gdzie udał się Gandalf po wysłaniu Froda i Sama do Bree?,Do Isengardu
1,"Z czyjego pola Merry i Pippin kradli warzywa, gdy wpadli na Froda i Sama?",Z pola farmera Maggota
1,Czym byli zajęci pozostali trzej hobbici gdy Frodo nalegał na zejście z gościńca?,Zbieraniem grzybów
1,W jaki sposób Saruman dowiedział się tak wiele o powrocie Saurona?,Posłużył się Palantirem
1,"Jak nazywał się prom, którym hobbici uciekli upiorom pierścienia w Shire?",Prom Bucklebury
1,"Kto zaproponował przeprawę promem, gdy hobbici chcieli uciec upiorom pierścienia?",Merry
1,Jak brzmiało pełne imię i nazwisko Merrego?,Meriadok Brandybuck
1,Jak brzmiało pełne imię i nazwisko Pippina?,Pelegrin Tuk
1,Jak brzmiało pełne imię i nazwisko Sama?,Samwise Gamgee
1,Jakie miano nosił Aragorn w czasach gdy nie ujawniał jeszcze swojego prawdziwego imienia?,Obieżyświat
1,Jakim nazwiskiem przedstawił się Frodo w gospodzie w Bree?,Underhill
1,Przez kogo ludzie w gospodzie w Bree poznali prawdziwą tożsamość powiernika pierścienia?,Przez Pippina
1,"Z jakiego powodu hobbici chcieli zrobić przerwę, w czasie ich wędrówki do Rivendell z Aragornem",Chcieli zjeść drugie śniadanie
1,"Jak nazywały się ruiny, w których hobbici wraz z Aragornem postanowili urządzić nocleg? ",Ruiny Wieży Amon Sul
1,Co Aragorn wręczył hobbitom w ruinach wierzy w trakcie podróży do Rivendell?,Cztery miecze
1,Co zdradziło kryjówkę hobbitów w ruinach wieży Amon Sul?,Ognisko i krzyki
1,"Jaką nazwę nosiło ostrze, którym przywódca Nazguli ugodził Froda",Ostrze/Nóż Morgulu
1,Jaki tytuł nosił przywódca Nazguli?,Czarnoksiężnika z Angmaru
1,Gdzie Arwena spotyka Froda ranionego ostrzem upiora?,W starym obozowisku Trolli które dawno temu chciały zjeść Bilba i kompanię Torina
1,Ile nazguli napadło hobbitów w ruinach na Wichrowym Czubie?,Pięciu
1,"Jakie dwie postacie przedstawia obraz, który Boromir podziwia w Rivendell?",Isildura i Saurona
1,"Kto udał się do Góry Przeznaczenia, aby zniszczyć jedyny pierścień po pokonaniu Saurona w Bitwie Ostatniego Sojuszu?",Elrond i Isildur 
1,"Jak nazywało się ostrze, którym zdjęto pierścień z ręki Saurona?",Narsil
1,Czyim synem był Aragorn?,Arathorna
1,Z ilu członków składała się początkowo drużyna pierścienia,Z dziewięciu
1,Co Frodo otrzymał od Bilba w Rivendell przed wyruszeniem drużyny pierścienia?,Żądło i kolczugę z mithrilu
1,Czym były Krebainy z Dunlandu?,Ptakami szpiegującymi dla Sarumana
1,"Jak nazywała się szczyt w Górach Mglistych, który Gandalf obrał za trasę dla Drużyny Pierścienia?",Caradhras
1,"Jak inaczej nazywano Morię, największą siedzibę krasnoludów",Khazad-dum
1,"Jak nazywała się substancja, użyta do oznaczenia zachodnej bramy Morii, która odbijała jedynie blask gwiazd i księżyca?",Ithildin
1,"Co głosił napis wyryty na Wrotach Durina, zachodniej bramie Morii?","Wrota Durina, władcy Morii, powiedz przyjacielu i wejdź"
1,"Jak nazywał się kucyk Sama, którego ten odesłał do domu spod bram Morii?",Bill
1,Jak w języku elfickim brzmiało hasło do zachodniej bramy Morii i co oznaczało?,"„Mellon”, to znaczy „przyjaciel”"
1,"Ile dni wędrówki było trzeba, aby drużyna przeszła Morię?",Cztery dni
1,Co stanowiło bogactwo Morii?,Mithril
1,"Jakie było dawne, prawdziwe imię Golluma?",Smeagol
1,Czyj grób drużyna pierścienia znajduje w Morii?,"Balina, syna Fundina"
1,"Jakie trzy ostatnie słowa krasnoludy zapisały w księdze, którą drużyna znalazła w Morii?",„Nie możemy wyjść”
1,Jaka istota wspierała orków w trakcie ich ataku na drużynę pierścienia w Morii?,Jaskiniowy troll
1,Na jakim moście po raz pierwszy Gandalf zmierzył się z Balrogiem?,Na Moście Khazad-dum
1,Jakimi broniami posługiwał się w walce Balrog z Morii?,Ognistym mieczem i biczem
1,Kto obudził „Płomień z Udunu” w kopalniach Morii?,Krasnoludy
1,Kto zdecydował o wybraniu drogi przez kopalnię Morii?,Frodo
1,Do jakiego królestwa udała się drużyna pierścienia po śmierci Gandalfa w Khazad-dum?,Lothlorien
1,"Kto panował w leśnym królestwie elfów, Lothlorien?",Celeborn i Galadriela
1,Czyim sługą był Balrog z Morii?,Morgotha
1,"O kim elfy z Lothlorien śpiewały pieśni, gdy drużyna pierścienia układała się do snu w ich królestwie?",O Gandalfie
1,Jak nazywała się stolica Lothlorien?,Caras Galadhon
1,"Jaką krainę ujrzał Frodo, gdy spojrzał w Zwierciało Galadrielii?",Shire
1,Czym był Caras Galadhon?,Stolica Lothlorien
1,Jak nazywała się ulepszona rasa orków wyhodowana przez Sarumana?,Uruk-hai
1,Kim byli orkowie zanim mroczne siły zmieniły ich w okropne bestie?,Elfami
1,Kto miał zostać przyprowadzony przez Uruk-hai do Sarumana żywy?,Niziołki/Hobbici
1,Jak nazywał się elficki chleb podróżnych?,Lembas
1,Co Legolas otrzymał od Galadrieli?,Łuk
1,Co Merry i Pippin otrzymali od Galadrieli?,Sztylety
1,Co Sam otrzymał od Galadrieli?,Linę
1,Jak nazywało się nieśmiertelne królestwo do którego odpływały elfy z szarej przystani?,Valinor
1,Co Frodo otrzymał od Galadrieli?,Blask Earendila/Flakonik ze światłem gwiazdy
1,Co Gimli otrzymał od Galadrieli?,Trzy kosmyki jej włosów
1,O co Gimli poprosił Galadrielę?,O kosmyk jej włosów
1,Co każdy z ośmiu członków drużyny otrzymał w Lothlorien?,Elfią szatę
1,Kto ostrzegł Froda przed wypaczeniem Boromira?,Galadriela
1,"Jak nazywała się Brama Królów, przez którą przepływa drużyna pierścienia?",Wrota Argonath
1,Przodków którego z żyjących ludzi ukazywały Wrota Argonath?,Aragorna
1,Co znajdowało się pomiędzy figurami tworzącymi Wrota Argonath?,Rzeka
1,"Których niziołków pojmali Uruk-hai, gdy napadli drużynę?",Merry’ego i Pippina
1,Kto umiera w czasie napaści Uruk-hai na drużynę?,Boromir
1,"Jak Boromir dał znać reszcie drużyny, że potrzebuje pomocy w walce z Uruk-hai?",Zadął w róg z gondoru
1,Gdzie po raz pierwszy Frodo dostrzega Golluma?,W Morii
2,Jak Gollum reaguję na linę którą zostaje związany?,Parzy go
2,"Skąd pochodziła lina, którą Sam i Frodo związali Golluma?",Uplotły ją elfy z Lorien
2,"Co przekonuje Froda, do rozwiązania Golluma i wejścia z nim w układ?","Powiedział, że zaprowadzi ich do Mordoru"
2,"Jaki przedmiot zostawia Pippin, gdy dowiaduje się, że Aragorn jest na tropie orków, by odbić hobbitów z rąk Uruk-hai?",Zapięcie swojego płaszcza z Lorien / Liść z Lorien
2,Gdzie Uruk-hai prowadzili pojmanych Merrego i Pippina?,Do Isengardu
2,"Co wypada Samowi z kieszeni, gdy wraz z Frodem schodzą po linie w dół skalnej ściany?",Pudełko z przyprawami
2,Jak nazywała się stolica Rohanu?,Edoras
2,Jak nazywało się królestwo określane mianem „ojczyzny jeźdźców”?,Rohan
2,Kto pod karą śmierci zostaje wygnany z Rohanu?,Eomer
2,"Kto wybił Uruk-hai, którzy porwali Merrego i Pippina?",Eomer wraz z jeźdźcami
2,"Jak nazywał się las sąsiadujący z Isengardem, który rozkazał wykarczować Saruman?",Fangorn
2,Kim początkowo dla Drzewca zdają się być złapani przez niego Hobbici?,Małymi orkami
2,"Jak hobbitom przedstawił się ent, przez którego zostali schwytani?",Drzewiec
2,Przed czyje oblicze Drzewiec zaprowadził hobbitów?,Gandalfa
2,Kto wygnał Eomera z Królestwa Rohanu? ,Theoden
2,W jaki sposób upiory pierścienia poruszały się po Martwych Bagnach?,Na latających bestiach
2,"O czym zdaniem Gimliego mogłyby rozmawiać ze sobą drzewa, gdyby potrafiły się porozumiewać? ",O konsystencji wiewiórczych kup
2,"Kogo w puszczy Fangorn zaatakowali Aragorn, Gimli i Legolas?",Gandalfa
2,W jaki sposób Gandalf zabił balroga z morii?,Ranił go mieczem 
2,"Jacy bohaterowie zdaniem Gandalfa Białego mieli stać się kamyczkami, które wywołają lawinę w jego metaforze?",Merry i Pippin
2,Jak nazywał się koń Gandalfa Białego?,Cienistogrzywy
2,O jakim gatunku drzewa opowiadały strofy wyrecytowane przez Drzewca Merremu i Pippinowi?,O drzewie jarzębiny
2,W jaki sposób Drzewiec uspał Merrego i Pippina?,Recytował im wiersze
2,Krórego przeciwnika najbardziej bał się Sauron w czasie Wojny o Pierścień?,Aragorna
2,Kto został określony mianem dziedzica Numenoru?,Aragorn
2,Kto był odpowiedziałny za wypaczenie umysłu Theodena?,Saruman
2,Kto był bezpośrednio odpowiedzialny za ruch mechanizmu otwierającego Czarną Bramę?,Trolle
2,Dzięki komu Sam nie został złapany przez Easterlingów?,Dzięki Frodowi
2,Kto udaremnił powiernikowi pierścienia próbę przedostania się do Mordoru poprzez Czarną Bramę?,Gollum
2,"Gdzie znajdowało się źródło wody, której wypicie powodowało nagły wzrost?",W Fangornie
2,Czym głównie skutkowało wypicie przez hobbitów wody ze źródła entów?,Nagłym wzrostem
2,Z jakiego powodu w Fangornie od bardzo dawna nie było enciąt?,Żony entów zaginęły
2,"Jak nazywał się bohater, który przyznał się, że zapomniał jak wyglądała jego żona?",Drzewiec
2,Czyim wujkiem jest Theoden?,Eomera i Eowiny
2,Gdzie ostatecznie poległ balrog z morii?,Na szczycie góry
2,Jak nazywał się poległy kuzyn Eomera i Eowiny?,Theodred
2,Kim był Theodred?,Jedynym synem Theodena
2,Jak nazywał się zdradliwy doradca króla Theodena?,Grima
2,Kogo nazywano Gadzim Językiem?,Grimę
2,"Z czyjego rozkazu przed wejściem do sali tronowej w Edoras, Gandalf i jego towarzysze musieli złożyć broń?",Z rozkazu Grimy
2,"Jaki przydomek otrzymał Gandalf, kiedy ponownie przybył do Śródziemia po potyczce z balrogiem? ",Biały
2,Gdzie swoich poddanych zabrał Theoden chcąc uniknąć otwartej wojny z Sarumanem?,Do Helmowego Jaru
2,"Którego dnia, po opuszczeniu przez Gandalfa Edoras, Aragorn miał wypatrywać czarodzieja o świcie?",Piątego
2,"Czyim uprzednio wierzchowcem był agresywny koń, którego w Edoras uspokoił Aragorn? ",Theodreda
2,"Jak nazywał się koń, którego Aragorn nakazał puścić wolno ze stajni w Edoras?",Brego
2,"Do kogo przed Aragornem, należał wierzchowiec, na którym ten dotarł do Helmowego Jaru?",Do Theodreda
2,Gdzie udał się Grima po opuszczeniu Edoras?,Do Isengardu
2,Jakie zwierzęta zostały przedstawione na noszonym przez Aragorna pierścieniu Barahira?,Dwa węże
2,"Jaki przedmiot należący do Aragorna, naprowadza Sarumana na jego powiązanie z Isildurem?",Pierścień Aragorna
2,"Jak nazywały się ogromne zwierzęta towarzyszące armii maszerującej do Mordoru, spostrzeżone przez Sama? ",Olifanty
2,Dlaczego krasnoludzkie kobiety często mylono z mężczyznami?,Przez ich brody
2,Kto w drużynie pierścienia był Dunedainem?,Aragorn
2,"Jaką wyjątkową, niepodobną do ludzi cechą odznaczali się Dunedaini?",Długowiecznością
2,"Kogo we śnie spotkał Aragorn, gdy podróżował wraz z innymi do Helmowego Jaru?",Arwene
2,"Kto dowodził oddziałem, który pojmał Froda i jego towarzyszy niedaleko Czarnej Bramy?",Faramir
2,"Kto był pierworodnym synem Denethora, namiestnika Gondoru?",Boromir
2,"Kto wysłał Boromira do Rivendell, by ten zdobył tam jedyny pierścień?",Denethor
2,"Jaki przedmiot Legolas przekazał Aragornowi, gdy ten spóźniony dotarł do Helmowego Jaru?",Naszyjnik Aragorna od Arweny
2,Gdzie schroniły się kobiety i dzieci w czasie oblężenia Helmowego Jaru?,W jaskiniach
2,"Kim byli wojownicy, którzy wsparli Rohan w Bitwie o Helmowy Jar?",Elfy z Lothlorien
2,"Kto dowodził zastępem elfów, który wsparł Rohan w Bitwie o Helmowy Jar?",Haldir
2,Co skłoniło Drzewca do zaangażowania się w wojnę z Sarumanem?,Widok wykarczowanego przez orków lasu
2,Kto zniszczył tamę i doprowadził do powodzi w Isengardzie?,Enty
2,Gdzie była Eowina w czasie Bitwy o Helmowy Jar,W jaskiniach
2,Co początkowo Faramir chciał zrobić z pierścieniem?,Posłać go Denethorowi
2,Kto uratował Golluma przed strzelcami Faramira?,Frodo
