Category,Question,Answer
2,"Komu Frodo zawdzięcza swoją postawę pełną litości, wobec Golluma?",Gandalfowi
2,Jaka kara groziła Faramirowi za uwolnienie Hobbitów?,Kara śmierci
2,Gdzie hobbici z Gollumem oddzielili się od oddziału Faramira?,W Osgiliath
2,"Od kogo Faramir dowiaduje się, jaki wpływ na jego brata miał pierścień?",Od Sama
2,Ile lat miał Aragorn?,Osiemdziesiąt siedem lat
2,Ile tysięcy lat minęło od momentu gdy Sauron stacił swój pierścień do chwili gdy został on zniszczony?,Trzy
2,Ilu wrogów zabił Gimli w czasie bitwy o Helmowy Jar?,Czterdziestu trzech
2,Ilu wrogów zabił Legolas w czasie bitwy o Helmowy Jar?,Czterdziestu dwóch
2,Co było powodem powodzi w Isengardzie?,Zniszczenie tamy
2,"Co ze znalezionych przez Merrego i Pippina zapasów Sarumana, wzbudziło w nich największą radość? ",Fajkowe ziele
2,Jaką drogę ucieczki z Osgiliath wskazuje hobbitom Faramir?,Kanały pod miastem
2,"Jak nazywała się boczna ścieżka prowadząca do Mordoru, którą wybrał Gollum?",Cirith Ungol
2,Jak nazywała się twierdza będąca siedzibą Nazguli?,Minas Morgul
2,Kto zamieszkiwał jaskinię na końcu drogi Cirith Ungol,Szeloba
2,Gdzie pierwszy raz Frodo przypomniał Gollumowi jak dawniej brzmiało jego imie?,Na Martwych Bagnach
2,Kto ocalił życie Grimy przed gniewem Theodena?,Aragorn
3,"Kto odnalazł jedyny pierścień, po tym jak zdradził on Isildura?",Deagol
3,"Jacy bohaterowie wyruszyli łodzią na połów ryb, który zakończył się odnalezieniem jedynego pierścienia?",Smeagol i Deagol
3,Z jakiego powodu Deagol wypadł z łodzi do wody?,Został wciągnięty przez rybę na wędce
3,"Dlaczego Smeagol został wygnany z wioski, w której mieszkał?",Za zabójstwo Deagola
3,"Jakiego argumentu użył Smeagol, gdy prosił Deagola o oddanie mu pierścienia?",Były to dzień urodzin Smeagola
3,Kto przejął władzę w Isengardzie po pokonaniu Sarumana?,Drzewiec
3,Ilu członków drużyny pierścienia było świadkami śmierci Sarumana?,Sześciu
3,Gdzie znajdował się Saruman w czasie rozmów z Gandalfem i Theodenem po upadku Isengardu?,Na szczycie Orthanku
3,Jak nazywała się wieża zamieszkana przez Sarumana znajdująca się w Isengardzie?,Orthank
3,Kto rozbroił Sarumana stojącego na dachu Orthanku?,Gandalf
3,Kto zabił Sarumana?,Grima
3,Kto zabił Grimę Gadzi Język?,Legolas
3,Kto odebrał Pippinowi Palantir w Isengardzie?,Gandalf
3,Kto wygrał alkoholowy turniej w Edoras?,Legolas
3,Kto zajął drugie miejsce w alhokolowym turnieju w Edoras?,Gimli
3,O jakiej karczmie znajdującej się w Shire rozmyślali Merry i Pippin w Isengardzie?,"O karczmie ""Pod Zielonym Smokiem"""
3,Kto wytknął Gandalfowi ochocze poświęcanie swoich bliskich?,Saruman
3,Kto w Edoras spytał Gandalfa o wieści o Frodzie?,Aragorn
3,Komu przyśnił się koszmar o nieprzeniknionej ciemności i wielkiej fali zalewającej zielone pola i szczyty wzgórz?,Eowinie
3,Kogo w nocy spotyka Aragorn na tarasie przed wejściem do Sali Tronowej w Edoras?,Legolasa
3,Co zobaczył Pippin w w Palantirze?,Martwe białe drzewo
3,Na co Pippin zamienił Palantir w ramionach śpiącego Gandalfa? ,Na dzbanek
3,"Z kim Gandalf udał się do Minas Tirith, aby ostrzec miasto przed nieprzyjacielem?",Z Pippinem
3,Co Merry wręcza Pippinowi przed jego wyjazdem z Edoras?,Fajkowe ziele
3,Kogo zobaczyła Arwena w swojej wizji w trakcie podróży do Szarej Przystani?,Aragorna i ich dziecko
3,Co ostatecznie przekonuje Arwene do pozostania w śródziemiu?,Wizja Aragorna i ich dziecka
3,Dokąd udaje się Arwena po opuszczeniu przemarszu elfów do Szarej Przystani?,Do Rivendell
3,"Po czym Elrond poznał, że Arwene opuszcza dar życia Eldarów?",Po zimnych dłoniach córki
3,Kto wpadł na pomysł przekucia miecza Elendila i podarowania go Aragornowi?,Arwena
3,"Do kogo należał miecz, którego przekuto dla Aragorna w Rivendell?",Do Elendila
3,"Jakie miasto nosiło przydomek ""Miasta Królów""?",Minas Tirith
3,"O jakiech trzech osobach, Gandalf nakazał Pippinowi nie wspominać w czasie ich pierwszego wspólnego spotkania z Denethorem?","O Boromirze, Aragornie i Frodzie"
3,Co dla Denethora było dowodem śmierci Boromira? ,Zniszczony róg Boromira
3,"Co trzymał w rękach namiestnik Gondoru, gdy po raz pierwszy przyszli do niego Gandalf i Pippin?",Zniszczony róg Boromira
3,Jaką funkcję pełnił Denethor?,Namiestnika Gondoru
3,Czyim ojcem był namiestnik Gondoru?,Boromira i Faramira
3,W jaki sposób Pippin postanowił odwdzięczyć się Denethorowi za poświęcenie jego syna?,Ofiarując mu swoje usługi
3,Jaka kraina rozciągała się naprzeciwko Minas Tirith?,Mordor
3,Kogo ukazywała zdewastowana ludzka rzeźba napotkana w lesie przez Froda Sama i Golluma? ,Jednego z królów Gondoru
3,Kto był wyznaczonym przez Saurona dowódcą sił zła w ataku na Minas Tirith?,Czarniksiężnik z Angmaru
3,Jak nazywała się wieża znajdująca się u stóp ukrytej ścieżki do Mordoru wybranej przez Golluma?,Minas Morgul
3,"Jak nazywało się miasto leżące nad rzęką, będące ostatnią linią obrony Minast Tirith?",Osgiliath
3,"Kto dowodził obroną Osgiliath, w czasie upadku miasta?",Faramir
3,Kto wysłał sygnał z prośbą o pomoc z Minas Tirith do Edoras przed atakiem na stolice Gondoru?,Pippin
3,W jaki sposób przekazywano wezwanie o pomoc pomiędzy Edoras a Minas Tirith?,Zapalano kolejne paleniska
3,Kto zawiadomił Theodena o płonącym palenisku sygnałowym z Minas Tirith?,Aragorn
3,Który niziołek został mianowany przez Theodena rycerzem Rohanu?,Merry
3,Gdzie Eowina miała oficjalnie rozstać się z wyruszającymi na wojnę jeźdźcami Rohanu?,W obozie Theodena
3,"Jaki przedmiot znaleziony u Eowiny uświadamia Aragornowi, że chce ona jechać wraz z nimi na wojnę?",Miecz
3,Kto wyruszył naprzeciw uciekającym z Osgiliath ludziom Faramira?,Gandalf i Pippin
3,Ile skrzydlatych bestii odpędził Gandalf w czasie ich ataku na uciekających z Osgiliath żołnieży?,Trzy
3,Kogo ujrzał w wizji Denethor w czasie rozmowy z Faramirem dotyczącej Froda i pierścienia?,Boromira
3,"Jak brzmiało inne imię Gandalfa, którym zwracała się do niego Galadriela?",Mithrandir
3,Kto neguje gotowość Merrego na wojnę w romowie z Eowiną?,Eomer
3,Jak nazywał się miecz wykuty ze szczątków Narsila przez elfickich kowali w Rivendell?,Anduril
3,Kto doradził Aragornowi zwrócenie się z prośbą o pomoc do Umarłych z Dunharrow?,Elrond
3,Kto zjawił się w obozie króla Theodena kilka godzin przed wyruszeniem jego armii do Minas Tirith?,Elrond
3,Kogo w nocnym koszmarze widzi Aragorn przed otrzymaniem od Elronda Andurila?,Arwene
3,Co zostaje zniszczone w nocnym koszmarze Aragorna w obozie Theodena?,Gwiazda Wieczorna (amulet Arweny podarowany Aragornowi)
3,Jak nazywał się amulet Arweny podarowany ukochanemu?,Gwiazda Wieczorna
3,"Co sygnalizowało Aragornowi, że moc jego ukochanej słabnie?",Blednięcie Gwiazdy Wieczornej
3,Gdzie Eowina wyznaje Aragornowi miłość?,W obozie Theodena
3,Gdzie wyrusza Aragorn po wyznaniu mu miłości przez Eowine?,Na Ścieżkę Umarłych
3,Do kogo udaje się Aragorn po przebudzeniu się z koszmaru w drodze do Minas Tirith?,Do Eomera
3,"Jak nazywała się droga przez górę, której bały się konie Rohhirimów?",Ścieżka Umarłych
3,"Skąd pochodzili umarli na przeklętej ścieżce, którą ruszył Aragorn, Gimli i Legolas?",Z Dunharrow
3," Kogo wraz z armią umarłych zaatakowali Aragorn, Legolas i Gimli?",Korsarzy z Umbaru
3,Skąd pochodzili korsarze w służbie Saurona płynący na bitwę pod Minas Tirith?,Z Umbaru
3,Kogo miała musnąć strzała Legolasa w czasie rozmowy Aragorna z korsarzami z Umbaru?,Bossmana
3,Co było przyczyną podjęcia przez Froda decyzji o odesłaniu Sama do domu w czasie pokonywania Cirith Ungol?,Sam chciał ponieść za Froda pierścień
3,"Widok czego, sprawił, że Sam postanowił wrócić do Froda po ich rozstaniu na Cirith Ungol?",Lembasu
3,Kto atakuje Froda po jego ucieczce z jaskini Szeloby?,Gollum
3,Gdzie Frodo gubi Żądło?,W jaskini Szeloby
3,Czym głównie bronił się Frodo w trakcie ucieczki przed Szelobą?,Blaskiem Earendila/flakonikiem ze światłem gwiazdy
3,"Kogo Frodo spotyka w wizji, po upadku z wycieńczenia pod jaskinią Szeloby?",Galadriele
3,"Jak nazywał się taran, którym sforsowano główną bramę Minas Tirith?",Grond
3,"Kim wzorował się Denethor, decydując się na spalenie zwłok Faramira i siebie?",Dawnymi królami barbarzyńców
3,"Co trzyma w ręce dowódca oddziału orków, który znajduje Froda przy jaskini Szeloby?",Bicz
3,"Gdzie zostaje zabrany Frodo, po tym jak został użądlony przez Szelobę?",Do wieży strażniczej orków
3,"Gdzie zmierział Gandalf, gdy został zaatakowany przez Czarnoksiężnika z Angmaru?",Do grobowca królewskiego w Minas Tirith
3,Jak Gandalf Biały stracił swój kostur?,Zniszczył go w pojedynku Czarnoksiężnik z Angmaru
3,Co przerywa walkę Gandalfa Białego z Czarnoksiężnikiem z Angmaru?,Przybycie pod Minas Tirith armii Theodena
3,Kto wyciąga Faramira z płonącego stosu w grobowcu?,Pippin
3,Czyim synem był Denethor?,Ectheliona
3,Namiestnikiem czyjego rodu był Denethor?,Anariona
3,Kto ucina łeb skrzydlatej bestii Czarnoksiężnika z Angmaru?,Eowina
3,Kto czekał na korsarzy z Umbaru w porcie na polach Pelenoru?,Orkowie
3,Kto uratował Eowine przed śmiercią z ręki Czarnoksiężnika z Angmaru?,Merry
3,Co Eowina mówi Czarnoksiężnikowi tuż przed jego śmiercią?,"""Nie jestem mężem"""
3,Kto ratuje Eowine przed śmiercią z rąk orka dowodzącego oblężeniem Minas Tirith? ,Aragorn/Gimli
3,W jaki sposób Legolas uśmierca Mumakila (Olifanta)?,Strzałem w tył głowy
3,"O co Merry pyta Pippina, gdy ten znajduje go rannego na Polach Pelenoru?",Czy Pippin go tu pochowa
3,Kiedy Eowina poznaje swojego przyszłego męża?,Po bitwie o Minas Tirith
3,"Co ork, który znalazł mithrilową kolczugę froda, zamierzał z nią zrobić?",Chciał ją przekazać Sauronowi
3,Jaki przedmiot zapoczątkował spór pomiędzy orkami w wieży strażniczej w mordorze?,Mithrilowa kolczuga 
3,Czyim pomysłem jest zaatakowanie Czarnej Bramy po obronie Minas Tirith?,Aragorna
3,"Kto stwierdza, że obrońcom Minas Tirith nie jest pisane zwycięstwo pod Czarną Bramą?",Eomer
3,"Ilu orków zdaniem Gandalfa, stacjonowało w Mordorze po obranie Minas Tirith?",10  tysięcy
3,"Jak nazywało się pustkowie, na którym znajdowała się Góra Przeznaczenia, przemierzane przez Froda i Sama?",Gorgoroth
3,Kto skontaktował się z Sauronem poprzez palantir po obronie Minas Tirith?,Aragorn
3,"Jak brzmiały imiona dwóch ostatnich właścicieli miecza, który Sauron widzi w Palantirze?",Aragorn i Elendil
3,Jakie dwie postacie ujrzał w Palantirze Aragorn?,Saurona i Arwene
3,"Jaki przedmiot ulega zniszczeniu, po kontakcie Aragorna z Sauronem?",Gwiazda Wieczorna (amulet Arweny podarowany Aragornowi)
3,"Na co decydują się Sam i Frodo opuszcając wieżę strażniczą w Mordorze, aby łatwiej im było przedostać się do Góry Przeznaczenia?",Na ubranie się w zbroje orków
3,"Jak miał zamiar ukarać Froda i Sama, ork nadzorujący przemarsz wojsk w Mordorze, wcielając ich do oddziału?",Wysłać ich do pierwszych szeregów
3,"Gdzie zmierzał oddział orków, do którego zostali wcieleni Sam i Frodo przebrani za żołnierzy z Mordoru?",Do Czarnej Bramy
3,"Jak nazywał się proces, w czasie którego Sam i Frodo rozpoczęli bójkę w oddziale orków zmierzającym do Czarnej Bramy?",Przegląd wojsk
3,Kto wpada na pomysł rozpoczęcia bójki w czasie przeglądu wojsk w Mordorze?,Frodo
3,"Co spostrzegł Sam, wędrując z Frodem przez Mordor, i określił pięknem, którego nie dotknie żaden cień?",Gwiazdę
3,Co zmartwiło Froda po spostrzeżeniu kończących się zapasów wody w trakcie wędrówki przez Gorgoroth?,"Zmartwiło go, że nie zostanie nic na powrót"
3,"Ilu konnych pojechało z Aragornem pod samą Czarną Bramę, gdzie przeprowadzono rozmowę z Rzecznikiem Saurona?",Czterech
3,Jaki przedmiot Rzecznik Saurona przekazuje Gandalfowi?,Mithrilową kolczugę
3,"Kto i w jaki sposób, kończy żywot Rzecznika Saurona?",Aragorn poprzez ścięcie głowy
3,Co według Sama zasieją na wiosne na polach w Shire? ,Jęczmień
3,O smak jakiego owocu pyta Froda Sam w Mordorze?,Truskawki
3,Jakie słowa wypowiada Aragorn przed rozpoczęciem bitwy pod Czarną Bramą?,Dla Froda
3,"Gdzie po raz pierwszy jeden z dwójki Legolas, Gimli, nazywa drugiego przyjacielem? Który z nich?",Legolas pod Czarną Bramą
3,"Co zwiastuje siłom dobra nadchodzące posiłki, w czasie bitwy pod Czarną Bramą?",Ćma
3,Kto jako ostatni staje hobbitom na drodze do Góry Przeznaczenia?,Gollum
3,"Gdzie Smigol przyznaje się Frodowi, że oszukał go przysięgając na skarb?",Pod Górą Przeznaczenia
3,W jaki sposób Frodo traci pierścień podczas potyczki w Górze Przeznaczenia?,Gollum odgryza mu palec z pierścieniem
3,Który palec stracił Frodo?,Wskazujący w lewej ręce
3,Kto pokonuje Aragorna w pojedynku w czasie bitwy pod Czarną Bramą?,Troll
3,"Jaką rzekę widzi Frodo w swojej wizji dotyczącej Shire, w Mordorze po zniszczeniu pierścienia?",Brandywine
3,Kto zjawia się po hobbitów leżących na skale wśród lawy przy Górze Przeznaczenia?,Gandalf i orły
3,"W jakiej kolejności członkowie drużyny pierścienia, zjawiali się w pokoju Froda w Rivendell po jego przebudzeniu?",1. Gandalf 2. Merry i Pippin 3. Gimli 4. Legolas 5. Aragorn 6. Sam 
3,Kto był odpowiedzialny za podanie Gandalfowi korony w czasie Koronacji Aragorna?,Gimli
3,Jakie wydarzenie kończy Trzecią Erę śródziemia?,Koniec Wojny o Pierścień/Śmierć Saurona
3,"Po jakim czasie od wyruszenia w podróż z Shire, czwórka hobbitów wróciła do domu?",Po trzynastu miesiącach
3,Kto łapie bukiet kwiatów podczas ślubu Sama i Różyczki?,Pippin
3,"Ile czasu minęło pomiędzy spotkaniem hobbitów z Nazgulami na Wichrowym Czubie, a zakończeniem pisania książki przez Froda?",Cztery lata
3,"Kto uronił łzę podczas wizyty w pokoju Froda w Rivendell, po pokonaniu Saurona?",Gimli
3,W którym momencie elfie pierścienie straciły moc?,Gdy zniszczono jedyny pierścień
3,Ilu bohaterów wyrusza ostatnim statkiem do Nieśmiertelnych Krain?,Sześciu
3,Jacy bohaterowie wyruszają ostatnim statkiem do Nieśmiertelnych Krain po upadku Saurona?,"Bilbo, Frodo, Gandalf, Elrond, Galadriela, Celeborn"
3,Kto jest  świadkiem opuszczenia Szarej Przystani przez Bilba i resztę załogi ostatniego statku za morze?,"Merry, Pippin, Sam"
3,Jak tytuł miała książka przekazana Samowi przez Froda?,"""Tam i z powrotem, opowieść Hobbita"""
3,"Wymień autorów książki ""Tam i z powrotem, opowieść Hobbita""?","Biblo, Frodo, Sam"
3,Gdzie Frodo przekazuje Samowi książkę rozpoczętą przez Bilba?,W Szarej Przystani
